video,source,prompt_id,model_name,subject_id,representative_frame
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0001_consisid_official_vbench_v1_0.mp4,consisid,ovb0001,consisid,s001,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0003_consisid_official_vbench_v1_0.mp4,consisid,ovb0003,consisid,s002,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0005_consisid_official_vbench_v1_0.mp4,consisid,ovb0005,consisid,s003,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0007_consisid_official_vbench_v1_0.mp4,consisid,ovb0007,consisid,s004,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0009_consisid_official_vbench_v1_0.mp4,consisid,ovb0009,consisid,s005,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0011_consisid_official_vbench_v1_0.mp4,consisid,ovb0011,consisid,s006,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0013_consisid_official_vbench_v1_0.mp4,consisid,ovb0013,consisid,s007,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0015_consisid_official_vbench_v1_0.mp4,consisid,ovb0015,consisid,s008,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0017_consisid_official_vbench_v1_0.mp4,consisid,ovb0017,consisid,s009,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0019_consisid_official_vbench_v1_0.mp4,consisid,ovb0019,consisid,s010,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0021_consisid_official_vbench_v1_0.mp4,consisid,ovb0021,consisid,s011,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0023_consisid_official_vbench_v1_0.mp4,consisid,ovb0023,consisid,s012,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0025_consisid_official_vbench_v1_0.mp4,consisid,ovb0025,consisid,s013,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard01/consisid_official_vbench_v1/ovb0027_consisid_official_vbench_v1_0.mp4,consisid,ovb0027,consisid,s014,
